jsx | Syntax | Which attribute should you use in JSX to set an element's CSS class? | 0, ```ts\nclass\n```; 1, ```ts\nclassName\n```; 2, ```ts\nclassList\n```; 3, ```ts\ncssClass\n``` | 1 | 2 | 30 | JSX uses ```ts\nclassName\n``` instead of ```ts\nclass\n``` because ```ts\nclass\n``` is a reserved word in JavaScript. | https://react.dev/learn/rendering-elements
jsx | Expressions | How do you embed a JavaScript expression inside JSX markup? |  | 0 | 2 | 30 | Wrap any JavaScript expression in curly braces inside JSX. | https://react.dev/learn/rendering-elements#using-expressions-in-jsx
jsx | Children | What does JSX compile into? |  | 2 | 2 | 30 | JSX is syntactic sugar for ```ts\nReact.createElement\n``` calls. | https://react.dev/learn/writing-markup-with-jsx
components | Function components | What should a React function component return? | 0, A ```ts\nPromise\n```; 1, A JSX element or ```ts\nnull\n```; 2, A DOM node object; 3, A React hook | 1 | 2 | 30 | Function components return JSX or ```ts\nnull\n```. | https://react.dev/learn/function-components
components | Exports | What is the difference between a default export and a named export for a React component? | 0, Default export requires braces when importing; 1, Named export allows a single default per file; 2, Default export can be imported without braces, named exports require braces; 3, Named exports are private to the module | 2 | 2 | 30 | Default exports are imported without curly braces; named exports must be imported using their exported name inside braces. | https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/export
state | useState | Which hook adds local state to a functional component? | 0, ```ts\nuseLocal\n```; 1, ```ts\nuseState\n```; 2, ```ts\nuseEffect\n```; 3, ```ts\nuseMemo\n``` | 1 | 2 | 30 | ```ts\nuseState\n``` returns a state value and a setter function. | https://react.dev/reference/react/useState
state | Initial value | "You have this code:\n```jsx\nconst [count, setCount] = useState(0 | 0, ```ts\nundefined\n```; 1, ```ts\nnull\n```; 2, `0`; 3, ```ts\nNaN\n``` | 2 | 2 | 30 | The argument passed to ```ts\nuseState\n``` is the initial value. | https://react.dev/learn/state-a-components-memory
props | Passing data | How do you pass data from a parent component to a child component? | 0, Using props; 1, Using ```ts\nlocalStorage\n```; 2, Using refs; 3, Using CSS variables | 0 | 2 | 30 | Props are the standard way to pass data from parent to child. | https://react.dev/learn/passing-data-to-a-component
props | Read-only | Why are props considered read-only in React? | 0, Because React freezes all objects; 1, Because mutating props breaks unidirectional data flow; 2, Because props are stored in the DOM; 3, Because props are global variables | 1 | 2 | 30 | Props represent external input and should not be mutated. | https://react.dev/learn/passing-props-to-a-component
lists | Keys | What is the purpose of the ```ts\nkey\n``` prop when rendering lists in React? | 0, Style list items; 1, Track identity of list items for reconciliation; 2, Set tab order; 3, Provide a unique id | 1 | 2 | 30 | Keys help React identify which items changed, were added, or removed. | https://react.dev/learn/rendering-lists#keys
events | Form handling | How do you prevent a form from performing a full page reload in a React ```ts\nonSubmit\n``` handler? |  | 1 | 2 | 30 | 'Call ```ts\nevent.preventDefault( | https://react.dev/learn/handling-events
fragments | Grouping elements | 'What is the use of ```tsx\nReact.Fragment\n``` (`<>...</>` | 0, Wrap multiple elements without adding an extra DOM node; 1, Create a portal; 2, Lazy-load components; 3, Memoize children | 0 | 2 | 30 | Fragments let you return multiple elements without an unnecessary wrapper element. | https://react.dev/learn/fragments
tooling | File extensions | Which file extension is used for React components written with TypeScript and JSX? | 0, ```ts\n.ts\n```; 1, ```ts\n.tsx\n```; 2, ```ts\n.jsx\n```; 3, ```ts\n.js\n``` | 1 | 2 | 30 | TypeScript + JSX files use the ```ts\n.tsx\n``` extension. | https://www.typescriptlang.org/docs/handbook/jsx.html
